((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 41), ('LinearRegression', 1.515188500816951, 0.9146890705394009, 0.4518652843870921))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 42), ('LinearRegression', 1.68078867571667, 0.8302184486570288, 0.20102726669050938))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 43), ('LinearRegression', -7.5743320137090056, 0.9420216082495783, 0.40604567442924266))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 44), ('LinearRegression', 24.54168448356211, 0.44230190515629547, 0.3261582114983134))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 45), ('LinearRegression', -7.02889541504615, 0.6261363673917929, 0.06802299038777834))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 46), ('LinearRegression', -4.16279257997971, 0.9071769149984951, 0.12911492307577424))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 47), ('LinearRegression', 13.237450394803455, 0.9028281994413448, 0.08943888867810569))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 48), ('LinearRegression', 16.338346756353292, 0.8844440801252947, 0.07820215124012028))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 49), ('LinearRegression', 15.772627125174102, 0.9847619120341782, 0.06990508583060745))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 50), ('LinearRegression', 5.614486799438148, 0.962796706194725, 0.08851709585677645))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 51), ('LinearRegression', 10.469464115483916, 0.9783327059868155, 0.08562269772156006))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 52), ('LinearRegression', 11.880968942872473, 0.9924413603368751, 0.10813112636493599))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 53), ('LinearRegression', -7.045327455604445, 0.9726931334041362, 0.16341580138086356))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 54), ('LinearRegression', 12.665004890330062, 0.9815977197062067, 0.03493117688412549))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 55), ('LinearRegression', 23.922983482765815, 0.9792361476884621, 0.21756076643126576))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 56), ('LinearRegression', 14.018097092436246, 0.9633659394805265, 0.10020755693834485))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 57), ('LinearRegression', 18.8543237879464, 0.9946011417818832, 0.056950495791942855))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 58), ('LinearRegression', 21.44012205914099, 0.9386572248153504, 0.1727253217970407))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 59), ('LinearRegression', 7.844912731356569, 0.9694111766116911, 0.10681916840566778))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 60), ('LinearRegression', 13.989663081573163, 0.9779627190816107, 0.1370335899023162))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 61), ('LinearRegression', 3.323459279866508, 0.9827070942124362, 0.060389067920055266))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 62), ('LinearRegression', 24.911128191167787, 0.9775075597625732, 0.05852718192012429))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 63), ('LinearRegression', 5.805208489558645, 0.9815817568082853, 0.19017421291538705))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 64), ('LinearRegression', -6.654675847634562, 0.967119688037604, 0.09870479763308937))
