dtime,time,open,high,low,close,vwap,volume,count
2020-05-28,1590624000,8364.9,8611.8,8290.6,8527.8,8472.9,6370.59224047,27258
2020-05-27,1590537600,8062.1,8410.9,8058.5,8364.9,8263.9,5433.32315303,28155
2020-05-26,1590451200,8163.3,8250.0,7945.4,8062.1,8088.8,5228.05232657,27473
2020-05-25,1590364800,8008.0,8240.0,7938.4,8163.3,8088.6,6256.60326098,33277
2020-05-24,1590278400,8422.1,8530.5,8000.0,8008.1,8282.8,4906.56929176,25947
2020-05-23,1590192000,8413.6,8538.5,8355.1,8422.1,8443.3,2184.13041691,16458
2020-05-22,1590105600,8281.7,8513.8,8182.0,8413.6,8392.1,6289.63573188,31686
2020-05-21,1590019200,8671.0,8728.5,8041.0,8282.5,8381.1,12721.65200175,52412
2020-05-20,1589932800,8953.2,8982.4,8504.2,8671.0,8770.7,8436.51248156,37479
2020-05-19,1589846400,8910.4,9010.0,8700.0,8953.2,8861.9,8137.17072438,34669
2020-05-18,1589760000,8926.6,9145.0,8666.0,8912.0,8913.7,8136.27959405,39226
2020-05-17,1589673600,8687.2,9098.0,8636.2,8927.0,8935.0,6828.49552291,31994
2020-05-16,1589587200,8610.2,8847.3,8527.5,8687.2,8704.5,3119.97927038,22929
2020-05-15,1589500800,9056.9,9103.6,8460.0,8610.1,8790.7,9990.68854722,48417
2020-05-14,1589414400,8621.3,9200.0,8100.0,9056.9,8940.5,14117.49269959,60405
2020-05-13,1589328000,8141.7,8715.0,8131.8,8621.3,8403.2,8695.84872577,42496
2020-05-12,1589241600,7937.6,8287.0,7911.9,8143.4,8134.3,6875.90886121,36002
2020-05-11,1589155200,8069.2,8521.3,7592.3,7937.6,8068.1,17631.56449464,74036
2020-05-10,1589068800,8817.1,8833.3,7500.0,8064.7,8071.5,18794.19403691,83935
2020-05-09,1588982400,9056.7,9149.2,8776.3,8819.4,8936.3,7086.04366216,36659
2020-05-08,1588896000,9220.7,9256.1,8973.8,9056.8,9155.4,9345.34742623,46444
2020-05-07,1588809600,8492.4,9278.0,8362.9,9220.7,8905.4,16624.12088657,66529
2020-05-06,1588723200,8334.1,8719.5,8232.3,8502.3,8525.3,10930.45241189,49175
2020-05-05,1588636800,8148.7,8385.0,8088.3,8337.4,8237.8,8312.80786946,38903
2020-05-04,1588550400,8128.0,8220.0,7811.0,8148.7,8034.3,8417.77178371,37870
2020-05-03,1588464000,8182.2,8370.0,7971.2,8129.6,8169.2,6498.71720474,30507
2020-05-02,1588377600,8033.3,8201.3,7984.0,8179.3,8102.2,3733.24303405,23850
2020-05-01,1588291200,7898.3,8288.3,7890.9,8030.3,8041.2,6832.30409412,32645
2020-04-30,1588204800,8078.4,8737.2,7705.0,7902.3,8225.5,21449.31850037,86351
2020-04-29,1588118400,7175.3,8267.3,7129.0,8074.9,7744.2,20838.90095138,78922
2020-04-28,1588032000,7202.9,7206.5,7100.0,7178.0,7144.2,4541.74508819,23471
2020-04-27,1587945600,7121.8,7216.0,7045.8,7202.9,7123.9,6110.98396866,27908
2020-04-26,1587859200,6987.4,7129.9,6961.0,7121.9,7056.6,4656.78289033,21167
2020-04-25,1587772800,6939.3,7120.0,6889.3,6987.4,6998.7,3339.26588661,21435
