((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 17, 11), (4.805448142051961, 0.9318552593344074, 2.145951264842651))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 17, 12), (3.945875436618403, 0.9352687998993333, 4.006931304042961))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 17, 13), (3.251889583527323, 0.9261197803095557, 3.4395453257965456))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 17, 14), (3.537950290648009, 0.9671475196892446, 2.8703077316940715))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 17, 15), (2.9068674722234893, 0.9810184590893866, 2.439158693801657))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 17, 16), (1.840130372279265, 0.9923014707017935, 1.8436931304503932))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 17, 17), (0.0, 1.0, 3.3626198122268154e-13))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 1), (4.206915200925523, 0.8945893420401297, 3.4759466937254535))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 2), (5.392633138631471, 0.8768265203428192, 4.3873169206859535))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 3), (6.14681823147793, 0.835302167684639, 3.0725234730486313))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 4), (5.138209757630884, 0.8209086605828257, 5.469032841538577))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 5), (5.488909080552186, 0.8196542552257544, 7.297872782742091))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 6), (5.653319069343438, 0.7751670153233536, 8.137259065341002))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 7), (5.259468447285062, 0.8311856440450407, 1.8043801153238277))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 8), (6.91431004263512, 0.827803783597658, 8.055867086965545))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 9), (6.573706787492166, 0.856173890095162, 4.921846742799516))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 10), (6.8799748287333, 0.8714351310970337, 5.51831216456134))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 11), (7.931544328054525, 0.8946368550013502, 3.8651878263624475))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 12), (6.454476130278866, 0.9338516001827817, 4.851168534921389))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 13), (4.9439748668330035, 0.9247536123757019, 5.962001048067476))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 14), (3.3939111904538337, 0.9377462640997323, 2.111548121711778))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 15), (3.6977021338061125, 0.9655362548264094, 3.4769398854524405))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 16), (3.1102397922822007, 0.9826957120377426, 2.706359835574525))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 17), (2.0743650052258555, 0.9926275636309686, 1.3370557485995571))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 18, 18), (0.0, 1.0, 2.681283766443292e-14))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 1), (3.34624337674287, 0.9204550629913782, 3.6376463421586567))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 2), (4.443458760539176, 0.898375157924884, 4.447575720898325))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 19, 3), (8.163329200825203, 0.8709698505188536, 6.480963298377596))
